"category_folder","category_name","category_id","sequence","product_no","title_ko","detail_url","original_image_url","local_file","bytes","status","error_message"
"01-food-beverage","Food & Beverage","78","1","1339","파이브가이즈","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1339&cate_no=78&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/ED8C8CEC9DB4EBB88CEAB080EC9DB4ECA688ED8CA8ED82A4ECA780.jpg","001__1339__파이브가이즈.jpg","151325","downloaded",""
"01-food-beverage","Food & Beverage","78","2","1338","테라로사","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1338&cate_no=78&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/ED839CEB9DBCEBA19CEC82ACED8CA8ED82A4ECA780.jpg","002__1338__테라로사.jpg","164931","downloaded",""
"01-food-beverage","Food & Beverage","78","3","1335","아웃백","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1335&cate_no=78&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/EC9584EC9B83EBB0B1ED8CA8ED82A4ECA780.jpg","003__1335__아웃백.jpg","169258","downloaded",""
"01-food-beverage","Food & Beverage","78","4","1307","고등어 연구소","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1307&cate_no=78&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20251020/EAB3A0EB93B1EC96B4EC97B0EAB5ACEC868CED8CA8ED82A4ECA780.jpg","004__1307__고등어 연구소.jpg","397544","downloaded",""
"01-food-beverage","Food & Beverage","78","5","258","농심 배홍동비빔면","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=258&cate_no=78&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/baehongdong20bibimmyun.jpg","005__258__농심 배홍동비빔면.jpg","174848","downloaded",""
"01-food-beverage","Food & Beverage","78","6","257","농심 안성탕면","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=257&cate_no=78&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/ansungtang.jpg","006__257__농심 안성탕면.jpg","223343","downloaded",""
"01-food-beverage","Food & Beverage","78","7","256","코코이찌방야","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=256&cate_no=78&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/cocoichbanya3.jpg","007__256__코코이찌방야.jpg","189913","downloaded",""
"01-food-beverage","Food & Beverage","78","8","255","코코이찌방야","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=255&cate_no=78&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/coco20truck.jpg","008__255__코코이찌방야.jpg","149409","downloaded",""
"01-food-beverage","Food & Beverage","78","9","254","코코이찌방야","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=254&cate_no=78&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/coco20shop.jpg","009__254__코코이찌방야.jpg","183774","downloaded",""
"01-food-beverage","Food & Beverage","78","10","253","농심 너구리","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=253&cate_no=78&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/nerguri.jpg","010__253__농심 너구리.jpg","238521","downloaded",""
"01-food-beverage","Food & Beverage","78","11","235","네스카페","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=235&cate_no=78&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/nescafe20farm.jpg","011__235__네스카페.jpg","75114","downloaded",""
"01-food-beverage","Food & Beverage","78","12","234","동원 F&amp;B","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=234&cate_no=78&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/dongwon20fnb.jpg","012__234__동원 F&amp;B.jpg","71324","downloaded",""
