"category_folder","category_name","category_id","sequence","product_no","title_ko","detail_url","original_image_url","local_file","bytes","status","error_message"
"03-public-research","Public Institutions & Research","80","1","1423","한국공항공사","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1423&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260824/EAB3B5ED95AD.jpg","001__1423__한국공항공사.jpg","210697","downloaded",""
"03-public-research","Public Institutions & Research","80","2","1418","해양경찰","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1418&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260812/ED95B4EC9691EAB2BDECB0B0.jpg","002__1418__해양경찰.jpg","343751","downloaded",""
"03-public-research","Public Institutions & Research","80","3","1415","인천","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1415&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260805/copy-1785890889-EC9DB8ECB29CEC8B9CED8BB0ED88ACEC96B4.jpg","003__1415__인천.jpg","165053","downloaded",""
"03-public-research","Public Institutions & Research","80","4","1414","경찰청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1414&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260805/ED97ACEAB8B0.jpg","004__1414__경찰청.jpg","239862","downloaded",""
"03-public-research","Public Institutions & Research","80","5","1413","경찰청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1413&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260805/EC9EA5EAB091ECB0A8.jpg","005__1413__경찰청.jpg","222367","downloaded",""
"03-public-research","Public Institutions & Research","80","6","1412","경찰청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1412&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260805/EC8898EC868CECA084EAB8B0EBB284EC8AA4.jpg","006__1412__경찰청.jpg","247679","downloaded",""
"03-public-research","Public Institutions & Research","80","7","1411","경찰청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1411&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260805/EC889CECB0B0ECB2AD.jpg","007__1411__경찰청.jpg","241671","downloaded",""
"03-public-research","Public Institutions & Research","80","8","1398","LIG Defense&amp;Aerospace","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1398&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260526/LIG-ED82A4EBA781.jpg","008__1398__LIG Defense&amp;Aerospace.jpg","116143","downloaded",""
"03-public-research","Public Institutions & Research","80","9","1397","LIG Defense&amp;Aerospace","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1397&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260526/LIG-EC9C84EC84B1ED8CA8ED82A4ECA780.jpg","009__1397__LIG Defense&amp;Aerospace.jpg","220350","downloaded",""
"03-public-research","Public Institutions & Research","80","10","1396","LIG Defense&amp;Aerospace","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1396&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260526/LIG-EB8C80ED8FACEBB391EBA088EC9DB4EB8D94-ED8CA8ED82A4ECA780.jpg","010__1396__LIG Defense&amp;Aerospace.jpg","255336","downloaded",""
