"category_folder","category_name","category_id","sequence","product_no","title_ko","detail_url","original_image_url","local_file","bytes","status","error_message"
"04-games-broadcast-media","Games, Broadcast & Media","81","1","1417","모펀","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1417&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260812/EB8B88ECBC80.jpg","001__1417__모펀.jpg","185697","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","2","1368","마비노기","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1368&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260213/KakaoTalk_20260213_102048244.jpg","002__1368__마비노기.jpg","250487","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","3","1367","블루아카이브","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1367&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260213/KakaoTalk_20260210_141644113_01.jpg","003__1367__블루아카이브.jpg","332695","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","4","1366","블루아카이브","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1366&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260213/KakaoTalk_20260210_141644113.jpg","004__1366__블루아카이브.jpg","278962","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","5","233","드라마 펜트하우스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=233&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/penthouse.jpg","005__233__드라마 펜트하우스.jpg","181514","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","6","221","tvN - 현지에서 먹힐까(미국편)","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=221&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/hyunjimuk.jpg","006__221__tvN - 현지에서 먹힐까(미국편).jpg","146734","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","7","208","이태리탕","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=208&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/itary20tang.jpg","007__208__이태리탕.jpg","2804467","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","8","200","SM 엔터테이먼트","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=200&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/sm3-tvxq-surisuri.jpg","008__200__SM 엔터테이먼트.jpg","112125","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","9","199","SM 엔터테이먼트","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=199&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/sm2-exodium.jpg","009__199__SM 엔터테이먼트.jpg","226380","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","10","198","SM 엔터테이먼트","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=198&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/sm1-exo-love-me-right.jpg","010__198__SM 엔터테이먼트.jpg","145751","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","11","193","CGV","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=193&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/cgv20hansan20figure.jpg","011__193__CGV.jpg","87433","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","12","192","CGV","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=192&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/CGV20screen20x.jpg","012__192__CGV.jpg","1688040","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","13","184","미래엔아이세움","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=184&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/dongpangmingju.jpg","013__184__미래엔아이세움.jpg","139142","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","14","183","KTOON","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=183&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/ktoon220dugndugn20somestick.jpg","014__183__KTOON.jpg","88944","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","15","182","KTOON","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=182&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/ktoon.jpg","015__182__KTOON.jpg","325810","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","16","131","BTS 방탄소년단","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=131&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/BTS.jpg","016__131__BTS 방탄소년단.jpg","463315","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","17","103","MBC","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=103&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18485E185A1E18483E185B5E1848BE185A9E1848CE185AEE186BCE18480E185A8E1848EE185A1.jpg","017__103__MBC.jpg","1824038","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","18","102","MBC","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=102&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18485E185A1E18483E185B5E1848BE185A9E18489E185B3E18490E185B2E18483E185B5E1848BE185A9.jpg","018__102__MBC.jpg","1940836","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","19","101","MBC","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=101&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/MBC_E18487E185A1E186BCE18489E185A9E186BCE18492E185A6E186AFE18480E185B5.jpg","019__101__MBC.jpg","678094","downloaded",""
"04-games-broadcast-media","Games, Broadcast & Media","81","20","100","MBC","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=100&cate_no=81&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/MBC_20E1848CE185AEE186BCE18480E185A8E1848EE185A1.jpg","020__100__MBC.jpg","559829","downloaded",""
