"category_folder","category_name","category_id","sequence","product_no","title_ko","detail_url","original_image_url","local_file","bytes","status","error_message"
"05-other","Other","82","1","1422","HD현대","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1422&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260824/HDEB8DB0EC8AA4ED81AC2.jpg","001__1422__HD현대.jpg","62522","downloaded",""
"05-other","Other","82","2","1421","HD현대","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1421&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260824/HDEB8DB0EC8AA4ED81AC.jpg","002__1421__HD현대.jpg","54711","downloaded",""
"05-other","Other","82","3","1420","현대자동차","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1420&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260824/ED9884EB8C80EC9E90EB8F99ECB0A8.jpg","003__1420__현대자동차.jpg","213090","downloaded",""
"05-other","Other","82","4","1419","현대위아","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1419&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260813/ED9884EB8C80EC9C84EC9584.jpg","004__1419__현대위아.jpg","182204","downloaded",""
"05-other","Other","82","5","1409","KIA","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1409&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260703/EAB8B0EC9584-ED8380EC8AA4EBA78C.jpg","005__1409__KIA.jpg","277838","downloaded",""
"05-other","Other","82","6","1408","KIA","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1408&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260703/EAB8B0EC9584-PV5.jpg","006__1408__KIA.jpg","265649","downloaded",""
"05-other","Other","82","7","1407","KIA","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1407&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260703/EAB8B0EC9584-EV3.jpg","007__1407__KIA.jpg","195920","downloaded",""
"05-other","Other","82","8","1405","HD현대 XITESOLUTION","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1405&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260617/HDED9884EB8C80-ECB0BDEAB3A0ED9895EBACBCEBA598EC9EA5EBB984-EBB095EC8AA4-EC9DB4EBAFB8ECA780.jpg","008__1405__HD현대 XITESOLUTION.jpg","142874","downloaded",""
"05-other","Other","82","9","1404","HD현대 XITESOLUTION","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1404&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260617/HDED9884EB8C80-EC868CED9895LPG-ECA780EAB28CECB0A8-EBB095EC8AA4.jpg","009__1404__HD현대 XITESOLUTION.jpg","215240","downloaded",""
"05-other","Other","82","10","1395","Bobcat","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1395&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260526/copy-1779781143-EB9190EC82B0-EC8AA4ED82A4EB939CEBA19CEB8D94-ED8CA8ED82A4ECA780.jpg","010__1395__Bobcat.jpg","158362","downloaded",""
"05-other","Other","82","11","1392","AETHER CT","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1392&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260526/EB8D95EC82B0-ED8CA8ED82A4ECA780.jpg","011__1392__AETHER CT.jpg","300324","downloaded",""
"05-other","Other","82","12","1391","한국마사회","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1391&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260526/ED959CEAB5ADEBA788EC82ACED9A8C-ED8CA8ED82A4ECA780.jpg","012__1391__한국마사회.jpg","78234","downloaded",""
