"theme_folder","theme_name_pt","product_no","title_ko","source_category_folder","source_detail_url","themed_file","bytes"
"01-alimentos-e-bebidas","Alimentos e Bebidas","1339","파이브가이즈","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1339&cate_no=78&display_group=1","001__1339__파이브가이즈.jpg","151325"
"01-alimentos-e-bebidas","Alimentos e Bebidas","1338","테라로사","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1338&cate_no=78&display_group=1","002__1338__테라로사.jpg","164931"
"01-alimentos-e-bebidas","Alimentos e Bebidas","1335","아웃백","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1335&cate_no=78&display_group=1","003__1335__아웃백.jpg","169258"
"01-alimentos-e-bebidas","Alimentos e Bebidas","1307","고등어 연구소","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1307&cate_no=78&display_group=1","004__1307__고등어 연구소.jpg","397544"
"01-alimentos-e-bebidas","Alimentos e Bebidas","258","농심 배홍동비빔면","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=258&cate_no=78&display_group=1","005__258__농심 배홍동비빔면.jpg","174848"
"01-alimentos-e-bebidas","Alimentos e Bebidas","257","농심 안성탕면","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=257&cate_no=78&display_group=1","006__257__농심 안성탕면.jpg","223343"
"01-alimentos-e-bebidas","Alimentos e Bebidas","256","코코이찌방야","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=256&cate_no=78&display_group=1","007__256__코코이찌방야.jpg","189913"
"01-alimentos-e-bebidas","Alimentos e Bebidas","255","코코이찌방야","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=255&cate_no=78&display_group=1","008__255__코코이찌방야.jpg","149409"
"01-alimentos-e-bebidas","Alimentos e Bebidas","254","코코이찌방야","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=254&cate_no=78&display_group=1","009__254__코코이찌방야.jpg","183774"
"01-alimentos-e-bebidas","Alimentos e Bebidas","253","농심 너구리","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=253&cate_no=78&display_group=1","010__253__농심 너구리.jpg","238521"
"01-alimentos-e-bebidas","Alimentos e Bebidas","235","네스카페","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=235&cate_no=78&display_group=1","011__235__네스카페.jpg","75114"
"01-alimentos-e-bebidas","Alimentos e Bebidas","234","동원 F&amp;B","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=234&cate_no=78&display_group=1","012__234__동원 F&amp;B.jpg","71324"
"01-alimentos-e-bebidas","Alimentos e Bebidas","223","박카스","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=223&cate_no=78&display_group=1","013__223__박카스.jpg","218223"
"01-alimentos-e-bebidas","Alimentos e Bebidas","216","또래오래","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=216&cate_no=78&display_group=1","014__216__또래오래.jpg","348765"
"01-alimentos-e-bebidas","Alimentos e Bebidas","215","이바돔 감자탕","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=215&cate_no=78&display_group=1","015__215__이바돔 감자탕.jpg","222427"
"01-alimentos-e-bebidas","Alimentos e Bebidas","214","쉐이크 쉑 버거","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=214&cate_no=78&display_group=1","016__214__쉐이크 쉑 버거.jpg","164463"
"01-alimentos-e-bebidas","Alimentos e Bebidas","196","이삭 토스트","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=196&cate_no=78&display_group=1","017__196__이삭 토스트.jpg","205021"
"01-alimentos-e-bebidas","Alimentos e Bebidas","195","크리스피 도넛","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=195&cate_no=78&display_group=1","018__195__크리스피 도넛.jpg","170358"
"01-alimentos-e-bebidas","Alimentos e Bebidas","194","크리스피 도넛","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=194&cate_no=78&display_group=1","019__194__크리스피 도넛.jpg","189920"
"01-alimentos-e-bebidas","Alimentos e Bebidas","191","크라운 제과","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=191&cate_no=78&display_group=1","020__191__크라운 제과.jpg","226760"
"01-alimentos-e-bebidas","Alimentos e Bebidas","187","스무디킹","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=187&cate_no=78&display_group=1","021__187__스무디킹.jpg","1670537"
"01-alimentos-e-bebidas","Alimentos e Bebidas","179","캘로그","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=179&cate_no=78&display_group=1","022__179__캘로그.jpg","156315"
"01-alimentos-e-bebidas","Alimentos e Bebidas","159","KANU 맥심","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=159&cate_no=78&display_group=1","023__159__KANU 맥심.jpg","79346"
"01-alimentos-e-bebidas","Alimentos e Bebidas","158","맥심 커피","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=158&cate_no=78&display_group=1","024__158__맥심 커피.jpg","1906613"
"01-alimentos-e-bebidas","Alimentos e Bebidas","153","SUBWAY","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=153&cate_no=78&display_group=1","025__153__SUBWAY.jpg","168141"
"01-alimentos-e-bebidas","Alimentos e Bebidas","129","이디야 커피","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=129&cate_no=78&display_group=1","026__129__이디야 커피.jpg","1833571"
"01-alimentos-e-bebidas","Alimentos e Bebidas","128","이디야 커피","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=128&cate_no=78&display_group=1","027__128__이디야 커피.jpg","661480"
"01-alimentos-e-bebidas","Alimentos e Bebidas","127","이디야 커피","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=127&cate_no=78&display_group=1","028__127__이디야 커피.jpg","695430"
"01-alimentos-e-bebidas","Alimentos e Bebidas","125","CJ 제일제당","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=125&cate_no=78&display_group=1","029__125__CJ 제일제당.jpg","72441"
"01-alimentos-e-bebidas","Alimentos e Bebidas","124","CJ 제일제당","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=124&cate_no=78&display_group=1","030__124__CJ 제일제당.jpg","635246"
"01-alimentos-e-bebidas","Alimentos e Bebidas","123","CJ 제일제당","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=123&cate_no=78&display_group=1","031__123__CJ 제일제당.jpg","606826"
"01-alimentos-e-bebidas","Alimentos e Bebidas","122","CJ 제일제당","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=122&cate_no=78&display_group=1","032__122__CJ 제일제당.jpg","619542"
"01-alimentos-e-bebidas","Alimentos e Bebidas","27","배스킨라빈스","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=27&cate_no=78&display_group=1","033__27__배스킨라빈스.jpg","1540766"
"01-alimentos-e-bebidas","Alimentos e Bebidas","26","배스킨라빈스","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=26&cate_no=78&display_group=1","034__26__배스킨라빈스.jpg","203765"
"01-alimentos-e-bebidas","Alimentos e Bebidas","25","배스킨라빈스","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=25&cate_no=78&display_group=1","035__25__배스킨라빈스.jpg","220956"
"01-alimentos-e-bebidas","Alimentos e Bebidas","24","배스킨라빈스","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=24&cate_no=78&display_group=1","036__24__배스킨라빈스.jpg","218286"
"01-alimentos-e-bebidas","Alimentos e Bebidas","23","배스킨라빈스","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=23&cate_no=78&display_group=1","037__23__배스킨라빈스.jpg","234956"
"01-alimentos-e-bebidas","Alimentos e Bebidas","22","배스킨라빈스","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=22&cate_no=78&display_group=1","038__22__배스킨라빈스.jpg","354156"
"01-alimentos-e-bebidas","Alimentos e Bebidas","21","배스킨라빈스","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=21&cate_no=78&display_group=1","039__21__배스킨라빈스.jpg","384735"
"01-alimentos-e-bebidas","Alimentos e Bebidas","20","배스킨라빈스","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=20&cate_no=78&display_group=1","040__20__배스킨라빈스.jpg","334925"
"01-alimentos-e-bebidas","Alimentos e Bebidas","19","배스킨라빈스","01-food-beverage","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=19&cate_no=78&display_group=1","041__19__배스킨라빈스.jpg","336828"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","1394","PARATA AIR","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1394&cate_no=79&display_group=1","001__1394__PARATA AIR.jpg","213488"
"06-varejo-e-hospitalidade","Varejo e Hospitalidade","1375","신세계백화점","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1375&cate_no=79&display_group=1","002__1375__신세계백화점.jpg","71437"
"06-varejo-e-hospitalidade","Varejo e Hospitalidade","1334","다이소","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1334&cate_no=79&display_group=1","003__1334__다이소.jpg","194084"
"06-varejo-e-hospitalidade","Varejo e Hospitalidade","1333","다이소","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1333&cate_no=79&display_group=1","004__1333__다이소.jpg","215749"
"06-varejo-e-hospitalidade","Varejo e Hospitalidade","1332","다이소","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1332&cate_no=79&display_group=1","005__1332__다이소.jpg","187006"
"06-varejo-e-hospitalidade","Varejo e Hospitalidade","1331","다이소","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1331&cate_no=79&display_group=1","006__1331__다이소.jpg","190166"
"06-varejo-e-hospitalidade","Varejo e Hospitalidade","1286","트레이더스","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1286&cate_no=79&display_group=1","007__1286__트레이더스.jpg","776033"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","227","대한항공","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=227&cate_no=79&display_group=1","008__227__대한항공.jpg","174307"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","226","대한항공","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=226&cate_no=79&display_group=1","009__226__대한항공.jpg","173044"
"06-varejo-e-hospitalidade","Varejo e Hospitalidade","222","세븐일레븐","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=222&cate_no=79&display_group=1","010__222__세븐일레븐.jpg","175282"
"06-varejo-e-hospitalidade","Varejo e Hospitalidade","209","롯데마트","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=209&cate_no=79&display_group=1","011__209__롯데마트.jpg","193604"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","205","이스타 항공","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=205&cate_no=79&display_group=1","012__205__이스타 항공.jpg","231703"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","188","티웨이 항공","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=188&cate_no=79&display_group=1","013__188__티웨이 항공.jpg","1585335"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","168","쏘카","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=168&cate_no=79&display_group=1","014__168__쏘카.jpg","596607"
"06-varejo-e-hospitalidade","Varejo e Hospitalidade","167","이마트","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=167&cate_no=79&display_group=1","015__167__이마트.jpg","1835767"
"06-varejo-e-hospitalidade","Varejo e Hospitalidade","166","이마트","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=166&cate_no=79&display_group=1","016__166__이마트.jpg","1854248"
"06-varejo-e-hospitalidade","Varejo e Hospitalidade","165","이마트","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=165&cate_no=79&display_group=1","017__165__이마트.jpg","1883660"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","164","제주항공","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=164&cate_no=79&display_group=1","018__164__제주항공.jpg","219628"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","163","제주항공","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=163&cate_no=79&display_group=1","019__163__제주항공.jpg","1631032"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","162","제주항공","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=162&cate_no=79&display_group=1","020__162__제주항공.jpg","1877737"
"06-varejo-e-hospitalidade","Varejo e Hospitalidade","160","서원유통 &amp; 동원","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=160&cate_no=79&display_group=1","021__160__서원유통 &amp; 동원.jpg","1789519"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","157","아시아나 항공","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=157&cate_no=79&display_group=1","022__157__아시아나 항공.jpg","203572"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","156","아시아나 항공","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=156&cate_no=79&display_group=1","023__156__아시아나 항공.jpg","195148"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","155","아시아나 항공","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=155&cate_no=79&display_group=1","024__155__아시아나 항공.jpg","1853705"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","69","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=69&cate_no=79&display_group=1","025__69__SK엔크린.jpg","114739"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","68","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=68&cate_no=79&display_group=1","026__68__SK엔크린.jpg","175465"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","67","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=67&cate_no=79&display_group=1","027__67__SK엔크린.jpg","190084"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","66","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=66&cate_no=79&display_group=1","028__66__SK엔크린.jpg","152346"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","65","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=65&cate_no=79&display_group=1","029__65__SK엔크린.jpg","1867535"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","64","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=64&cate_no=79&display_group=1","030__64__SK엔크린.jpg","626186"
