"category_folder","category_name","category_id","sequence","product_no","title_ko","source_detail_url","local_file","bytes","status"
"01-food-beverage","Food & Beverage","78","1","1339","파이브가이즈","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1339&cate_no=78&display_group=1","001__1339__파이브가이즈.jpg","151325","downloaded"
"01-food-beverage","Food & Beverage","78","2","1338","테라로사","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1338&cate_no=78&display_group=1","002__1338__테라로사.jpg","164931","downloaded"
"01-food-beverage","Food & Beverage","78","3","1335","아웃백","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1335&cate_no=78&display_group=1","003__1335__아웃백.jpg","169258","downloaded"
"01-food-beverage","Food & Beverage","78","4","1307","고등어 연구소","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1307&cate_no=78&display_group=1","004__1307__고등어 연구소.jpg","397544","downloaded"
"01-food-beverage","Food & Beverage","78","5","258","농심 배홍동비빔면","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=258&cate_no=78&display_group=1","005__258__농심 배홍동비빔면.jpg","174848","downloaded"
"01-food-beverage","Food & Beverage","78","6","257","농심 안성탕면","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=257&cate_no=78&display_group=1","006__257__농심 안성탕면.jpg","223343","downloaded"
"01-food-beverage","Food & Beverage","78","7","256","코코이찌방야","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=256&cate_no=78&display_group=1","007__256__코코이찌방야.jpg","189913","downloaded"
"01-food-beverage","Food & Beverage","78","8","255","코코이찌방야","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=255&cate_no=78&display_group=1","008__255__코코이찌방야.jpg","149409","downloaded"
"01-food-beverage","Food & Beverage","78","9","254","코코이찌방야","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=254&cate_no=78&display_group=1","009__254__코코이찌방야.jpg","183774","downloaded"
"01-food-beverage","Food & Beverage","78","10","253","농심 너구리","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=253&cate_no=78&display_group=1","010__253__농심 너구리.jpg","238521","downloaded"
"01-food-beverage","Food & Beverage","78","11","235","네스카페","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=235&cate_no=78&display_group=1","011__235__네스카페.jpg","75114","downloaded"
"01-food-beverage","Food & Beverage","78","12","234","동원 F&amp;B","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=234&cate_no=78&display_group=1","012__234__동원 F&amp;B.jpg","71324","downloaded"
"01-food-beverage","Food & Beverage","78","13","223","박카스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=223&cate_no=78&display_group=1","013__223__박카스.jpg","218223","downloaded"
"01-food-beverage","Food & Beverage","78","14","216","또래오래","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=216&cate_no=78&display_group=1","014__216__또래오래.jpg","348765","downloaded"
"01-food-beverage","Food & Beverage","78","15","215","이바돔 감자탕","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=215&cate_no=78&display_group=1","015__215__이바돔 감자탕.jpg","222427","downloaded"
"01-food-beverage","Food & Beverage","78","16","214","쉐이크 쉑 버거","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=214&cate_no=78&display_group=1","016__214__쉐이크 쉑 버거.jpg","164463","downloaded"
"01-food-beverage","Food & Beverage","78","17","196","이삭 토스트","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=196&cate_no=78&display_group=1","017__196__이삭 토스트.jpg","205021","downloaded"
"01-food-beverage","Food & Beverage","78","18","195","크리스피 도넛","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=195&cate_no=78&display_group=1","018__195__크리스피 도넛.jpg","170358","downloaded"
"01-food-beverage","Food & Beverage","78","19","194","크리스피 도넛","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=194&cate_no=78&display_group=1","019__194__크리스피 도넛.jpg","189920","downloaded"
"01-food-beverage","Food & Beverage","78","20","191","크라운 제과","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=191&cate_no=78&display_group=1","020__191__크라운 제과.jpg","226760","downloaded"
"01-food-beverage","Food & Beverage","78","21","187","스무디킹","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=187&cate_no=78&display_group=1","021__187__스무디킹.jpg","1670537","downloaded"
"01-food-beverage","Food & Beverage","78","22","179","캘로그","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=179&cate_no=78&display_group=1","022__179__캘로그.jpg","156315","downloaded"
"01-food-beverage","Food & Beverage","78","23","159","KANU 맥심","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=159&cate_no=78&display_group=1","023__159__KANU 맥심.jpg","79346","downloaded"
"01-food-beverage","Food & Beverage","78","24","158","맥심 커피","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=158&cate_no=78&display_group=1","024__158__맥심 커피.jpg","1906613","downloaded"
"01-food-beverage","Food & Beverage","78","25","153","SUBWAY","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=153&cate_no=78&display_group=1","025__153__SUBWAY.jpg","168141","downloaded"
